Symbol,1 Month % Return,6 Month % Return,1 Year % Return,Market Cap (M),Correlation
MRVL,-7.7,36.9,81.7,62.9,0.47
TSM,5.1,63.6,59.4,733.1,0.47
AVGO,0.1,63.9,116.1,620.7,0.46
MPWR,-8.7,45.3,39.1,31.3,0.46
AMD,-16.9,65.6,84.1,275.4,0.34
ASX,10.2,46.4,51.7,24,0.31
QRVO,1.6,22.5,21.1,11.3,0.29
WKEY,-4.6,43.8,98.2,22.3,0.28
CEVA,-0.7,19.5,-23.2,527.5,0.28
NXPI,-2.6,24.3,41.6,61.8,0.26
MU,30.9,79.5,118.2,136.8,0.24
QCOM,6.2,57.7,42,191.6,0.24
UMC,5.5,15.8,2.6,20.2,0.23
TXN,-1.8,9.7,-2.6,152.3,0.23
POWI,-3.7,-7.8,-11.8,3.9,0.22
SYNA,-8.7,3.4,-7.3,3.7,0.21
RMBS,-2.2,5,22.3,6.5,0.21
SWKS,5.1,10.4,-3.9,16.9,0.2
FORM,4.9,39.9,54.9,3.6,0.2
MCHP,2.3,14.4,12.2,47.8,0.19
SGH,11.3,7.4,48.1,1.3,0.19
SITM,-8.4,-25.6,-35.3,1.9,0.18
PXLW,-17.3,83.6,61.2,129.5,0.17
SKYT,-10.9,74.6,2.2,484.6,0.15
STM,-8.4,-3.1,-16.2,37.8,0.14
CRUS,2.7,28.6,-10.6,4.9,0.14
ALGM,-10.4,-13.2,-42.2,5.1,0.14
MTSI,10.7,27.8,53.5,7.3,0.14
GFS,-3.8,-10.5,-23.7,27.9,0.14
SIMO,13.5,51.5,26.9,2.7,0.13
DIOD,2.4,-14.2,-20.2,3.1,0.13
LASR,-0.7,24.4,30,588.8,0.13
SLAB,-6.3,16,-21.8,4.2,0.12
VSH,-3.8,-8.6,3.6,3,0.11
AIP,1.7,14.6,61.4,270.6,0.1
NVEC,2.6,10.7,12.1,411.9,0.08
INTC,-10.3,8.6,19.4,163.7,0.08
LSCC,-3,-1.8,-17.7,10.3,0.07
SMTC,49.1,46,51.4,2.1,0.07
NVTS,-14.9,-27.5,-32.9,820.1,0.07
HIMX,-2.2,-4.2,-21.8,947,0.06
ADI,2.6,14.2,4.1,96.6,0.06
WISA,-51.3,-95.4,-98.5,1.3,0.05
SQNS,-29.3,-82.5,-78.6,30.8,0.04
IMOS,7,30.8,30.2,1.1,0.04
ON,-10,-21.4,-9.4,29.6,0.04
AOSL,1,-22.4,-11,636.5,0.04
MX,-1.1,-35.8,-41.6,203.2,0.04
MXL,12.9,5.8,-34.1,"1,800.00",0.03
WOLF,-0.6,-19.8,-54.4,"3,300.00",0.03
PRSO,-11.8,-99.5,-99.8,2,0.02
TSEM,-0.7,35.5,-23.1,"3,600.00",0.02
VLN,10.3,-3.5,-16,255.2,0.02
EMKR,-26.1,-30.7,-72.6,24.1,0.02
LEDS,-4.1,-19.3,-28.5,9.8,0.02
MRAM,-4.6,-21.6,18.1,162.1,0.01
POET,-8.4,-56.4,-69,57.1,0.01
QUIK,-11.3,65.3,139.6,205.3,0
NA,-30.9,15.1,34.3,94.7,0
GSIT,45.4,119.9,174.6,131.3,0
