Stock,Open / Prev Close,daily vol / 10 day average vol,close  / vwap
MRVL,1.011838817,1.165785429,0.996931164
TSM,1.01244712,1.019504785,0.999960885
AVGO,1.007590344,1.121130056,0.999677662
MPWR,1.010781661,0.988699087,0.998865506
AMD,1.032892733,1.154134018,1.003586395
ASX,1.005263178,0.961362582,0.996730815
QRVO,0.992311813,1.113571516,0.999881147
WKEY,0.988805981,0.752511672,1.004676576
CEVA,0.992960851,1.102171593,1.003766607
NXPI,0.994164659,1.132069973,0.992608143
MU,0.982901781,1.118162773,0.995756941
QCOM,0.999539304,0.957787343,0.999828568
UMC,0.992278,0.881546211,1.003611626
TXN,0.979292059,1.087754696,0.996258342
POWI,0.995317395,1.141300299,0.999940873
SYNA,0.992588381,1.132653277,1.002106036
RMBS,1.000726428,0.973860349,0.988486142
SWKS,0.98595074,1.14382931,1.001650469
FORM,1.032225547,0.827125094,0.992817462
MCHP,0.975728156,1.028820279,0.993675724
SGH,1.011557766,0.988589651,1.004595237
SITM,0.974080416,1.099435603,1.019733631
ARM,1.016506547,0.970121458,0.993195979
PXLW,1.007434937,0.803777088,0.984674294
SKYT,1.019999956,0.814064086,0.978620865
STM,1.002916784,1.143608321,0.999519867
CRUS,0.989775442,0.952246925,0.997734508
ALGM,0.997726483,0.988182702,0.995746128
MTSI,1.004895566,1.05578026,0.994450211
GFS,1.025688101,1.35211388,1.006641559
SIMO,1.01737707,1.359358886,0.998195423
DIOD,0.984096572,0.918111898,0.997140583
LASR,1.021645036,0.771946147,1.00266521
SLAB,0.994703651,0.884297977,1.009437696
VSH,1.004120886,0.758077711,1.012085885
LAES,0.98770493,1.194485185,1.023655692
AIP,1.085631374,1.130656673,1.001896209
NVEC,1.002354429,1.021641332,0.993675467
INTC,0.99415988,1.031864417,1.011548539
LSCC,0.999168663,0.925007448,0.999702183
SMTC,0.96812752,1.106666877,0.999555311
NVTS,1,0.87760332,1.02754735
HIMX,0.98550726,1.026342122,1.005319769
ADI,0.988648395,0.901413479,0.987626269
WISA,1,0.944046762,1.065786603
SQNS,1.143426254,1.362279362,0.988696003
IMOS,1.007529616,1.181575121,1.003829425
ON,0.999354549,0.968423883,0.99900231
AOSL,0.992802526,1.149691059,1.00230031
MX,1.004629662,0.79272371,1.008454747
MXL,0.995300253,0.956028433,0.998367206
WOLF,1.052964435,1.251711373,0.997786663
PRSO,0.977142879,1.925622948,1
TSEM,1.003832579,1.071464958,1.008419446
VLN,0.976562522,1.046140515,1.003739949
EMKR,1.022222201,1.277664256,1.007308633
LEDS,1.129251656,0.793878152,1.010362417
MRAM,0.998846571,1.1448245,1.003961075
POET,1,1.421499647,1.00207035
QUIK,0.993001617,1.019083957,1.028638245
GSIT,1.003831414,1.322989307,1.005214875
